1,admin,admin,admin,admin@admin.admin,1000:ca7af213761dca3c2f5dcf00ca5e7e31d408d5ccaf1d1a44e6e1912a552837eb1477d04bb2a689eebadba29b0c95ceca:a14f592a897728f16e9082cd7d26f286887a42dc0ea4889ba37b36477497b12c485b969961671718d8cd1709be769cee,09/333.22.11,75,,28,28
4,owner,owner,owner,owner@owner.owner,1000:f551d3a09a50fa0609ed5f88e0dc9e26cd3e2f6bcad84e775c9f9f862ead694053009fc351a36c5bc741ef661aacf899:b78e509d0189c795c45ade910ef5c52d8aadbbfea739485dfbfc8ec5bb0f86460a5a03eb77310b365ae4809ec3133388,09/333.22.11,75,,6,6
5,user,user,user,user@user.user,1000:4a890d361ac6f22354e2eb2a272013ef8cff63eb60fde3030a11c1126227156aa8439f91947994419a9e6357db51b93f:dfcfb170cce715b61152c077dfa92dc56779cdfb53bc8c4f7e7b1133e3b3e1e5478c533b10a57cf4090e9b08571737be,09/333.22.11,75,,7,7
3,lener,lener,lener,lener@lener.lener,1000:5c1ee05b0760d1a7fa94e08ee9f0de22998747000a015fb51833795886dcb23a668e2ed8343cfce748f5c040436d3c93:ea1c6fd3f4bada45db06dcefb8eb68a5323509e2b94ce38159df28b17b8c1269b7aa5ad1678fc037ba37bc1b5b9e95e4,09/333.22.11,75,,1,1
6,new_owner,new_owner,new_owner,new_owner@owner.owner,1000:f551d3a09a50fa0609ed5f88e0dc9e26cd3e2f6bcad84e775c9f9f862ead694053009fc351a36c5bc741ef661aacf899:b78e509d0189c795c45ade910ef5c52d8aadbbfea739485dfbfc8ec5bb0f86460a5a03eb77310b365ae4809ec3133388,09/333.22.11,75,,1,1
4,Pacichu,Owner,Owner,Pacichu@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,2,2
4,Jazzz,Owner,Owner,Jazzz@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,3,3
4,Triste,Owner,Owner,Triste@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,4,4
4,Chatoke,Owner,Owner,Chatoke@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,5,5
4,The Redmobile,Owner,Owner,TheRedmobile@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,6,6
4,Surplus,Owner,Owner,Surplus@degage.be,1000:d7717e02541107f1cd8f8b236c6d968a1a3ff831b42d8916be6016dfa884be4f3b9de9f06fc0baa7dbf605db093a3a4d:3fc0ba7c02848f7fa059da111661b16a1472a737edfada610f6182a00864389023b66f051e44e86cbb61044d13684339,09/333.22.11,75,,7,7
